duration_ns,first_row_ns,rows,explain_rows,partitions
513848700,513484200,100,841341,p2009_q2
477928000,469931000,100,841341,p2009_q2
488808200,488808200,100,841341,p2009_q2
484915500,484915500,100,841341,p2009_q2
428331000,425080600,100,841341,p2009_q2
832293900,832293900,100,841341,p2009_q2
3531955900,3531955900,100,3355424,"p2009_q1,p2009_q2,p2009_q3,p2009_q4"
682752400,682446400,91,841341,p2009_q2
572763900,566712800,100,841341,p2009_q2
3228693200,3227615200,100,841341,p2009_q2
1754308700,1711907800,919,84117,
2537661100,2537661100,100,84117,
29011927200,28997340700,500,3355424,"p2009_q1,p2009_q2,p2009_q3,p2009_q4"
932556700,932212000,100,841341,p2009_q2
1481428200,1481428200,100,841341,p2009_q2
7732662400,7725984900,100,1000,
11869145300,11866001100,100,1000,
20162862300,20162862300,100,1000,
4325064200,4313465800,100,6331875,
10337983500,10337983500,100,9208419,"before_2008_q3,p2008_q3,p2008_q4,p2009_q1,p2009_q2,p2009_q3,p2009_q4,p2010_q1,p2010_q2,p2010_q3,p2010_q4,p_future"
