duration_ns,first_row_ns,rows,explain_rows,partitions
18438941100,18432220200,100,10379568,
4436799000,4436432400,100,10379568,
4394055300,4392635900,100,10379568,
4002189000,4002189000,100,10379568,
4040702400,4034008900,100,10379568,
4886732000,4886732000,100,10379568,
7076568200,7076568200,100,10379568,
4488684600,4479967900,91,10379568,
4926970900,4926970900,100,10379568,
7371914200,7359806000,100,10379568,
5076664000,5040516700,919,576527,
18447174000,18447174000,100,576527,
25479460900,25461547700,500,10379568,
5379728400,5376796400,100,10379568,
5458862700,5458555400,100,10379568,
4924620600,4924022100,100,1000,
4613292300,4603880100,100,1000,
4656523300,4656143000,100,1000,
5221808500,5221443400,100,6295125,
6378388800,6378000200,100,10379568,
