duration_ns,first_row_ns,rows,explain_rows,partitions
3794700,3794700,1,1,
2198700,2198700,1,1,
3540400,3540400,1,1,
2360400,2360400,1,1,
3083409200,3083409200,1,1,
14079500,3665800,4,4,
3838600,3838600,2,4,
11175700,11175700,4,4,
3535900,3535900,4,4,
1123239500,1122939200,100,199272,
75263399000,75259199800,100,6376326,
28070806400,28070806400,100,6376326,
4870656800,4867159300,100,10379568,
4908964900,4902734300,100,10379568,
6748695300,6748695300,100,10379568,
9034585900,9034585900,100,1,
4154100,0,0,5,
3940700,3940700,4,8,
6169700,6169700,4,8,
93487294300,93487294300,100,16263857,
