duration_ns,first_row_ns,rows,explain_rows,partitions
3821711000,3821711000,1,1,p0
3626921700,3626921700,1,1,p3
2418026000,2418026000,1,1,p3
11584028200,11584028200,1,1,p3
6496973400,6496973400,1,1,p1
4354300500,4354300500,4,4,p0
4317115300,4317115300,2,4,"p0,p1,p2,p3"
3756381300,3744827200,4,4,p0
1697482300,1697482300,4,4,p0
5755813700,5755813700,100,189728,"p0,p1,p2,p3"
69645340700,69633875000,100,6487389,"p0,p1,p2,p3"
35523497800,35516871600,100,6487389,"p0,p1,p2,p3"
929117600,928716400,100,841341,p2009_q2
1256212600,1249913300,100,841341,p2009_q2
14362345100,14360330700,100,7238568,"p0,p1,p2,p3"
29074878000,29074878000,100,1,p1
3832139800,0,0,9208419,"before_2008_q3,p2008_q3,p2008_q4,p2009_q1,p2009_q2,p2009_q3,p2009_q4,p2010_q1,p2010_q2,p2010_q3,p2010_q4,p_future"
1798298700,1798298700,4,8,p1
6338351400,6338351400,4,8,"p0,p1,p2,p3"
96383137700,96380179800,100,19910873759026,
