duration_ns,first_row_ns,rows,explain_rows,partitions
829900,829900,1,1,
3574400,3574400,1,1,
2058900,2058900,7,1,
4674200,4674200,4,4,
4269100,4269100,2,2,
31085000,31085000,1,1,
6416200,3891200,100,1,
5064298600,5063943600,91,7252166,
4766266600,4765914700,100,10379568,
3637671300,3637303600,100,10379568,
9441744600,9441744600,100,7252166,
15664771200,15664771200,100,10379568,
5500081200,5499606100,100,3512092,
8360843200,8357589900,100,805635,
6239800900,6238752700,100,10379568,
3743900,3743900,4,4,
12752800,12752800,4,4,
30126800,30126800,4,4,
8103031000,8102693800,120,7252166,
17554183900,17544616900,100,7252166,
