duration_ns,first_row_ns,rows,explain_rows,partitions
895200,895200,1,1,p0
1365600,1365600,1,1,"p0,p1,p2,p3"
3373848700,3373848700,7,1,"before_2008_q3,p2008_q3,p2008_q4,p2009_q1,p2009_q2,p2009_q3,p2009_q4,p2010_q1,p2010_q2,p2010_q3,p2010_q4,p_future"
5564200,4491200,4,4,"p0,p1,p2,p3"
4465400,663900,2,2,"p0,p1,p2,p3"
1970057200,1970057200,1,1,p1
2131984300,2131390400,100,1,p1
2790821600,2790821600,91,7238568,"p0,p1,p2,p3"
15516020000,15512549900,100,7238568,"p0,p1,p2,p3"
15524109100,15524109100,100,7238568,"p0,p1,p2,p3"
21191388500,21191014400,100,7238568,"p0,p1,p2,p3"
52697020300,52696709100,100,7238568,"p0,p1,p2,p3"
13729798200,13729798200,100,844402,
14309357400,14308961200,100,844402,
7380308700,7380007500,100,841341,p2009_q2
3226700,3226700,4,4,"p0,p1,p2,p3"
12581018900,12581018900,4,4,
6100277000,6100277000,4,4,
74175014400,74174654600,120,7238568,"p0,p1,p2,p3"
20355854000,20355854000,100,7238568,"p0,p1,p2,p3"
