duration_ns,rows,explain_rows,partitions
454341153,558343,511940,p2008_q3
678665178,809115,723720,p2008_q4
784482442,848446,736974,p2009_q1
574418626,922343,841341,p2009_q2
934265487,991767,860917,p2009_q3
1080682221,1036357,916192,p2009_q4
1237446045,1095363,1013135,p2010_q1
1120215372,1123655,1147288,p2010_q2
1222337939,1209086,1045498,p2010_q3
1384109073,1246841,1164226,p2010_q4
1263255279,1770789,1578315,"p2009_q1,p2009_q2"
1428672570,2028124,1777109,"p2009_q3,p2009_q4"
1517077726,2219018,2160423,"p2010_q1,p2010_q2"
1649137545,2455927,2209724,"p2010_q3,p2010_q4"
1876089234,2762556,2439232,"p2009_q1,p2009_q2,p2009_q3"
2526914096,3798913,3355424,"p2009_q1,p2009_q2,p2009_q3,p2009_q4"
3332444558,4674945,4370147,"p2010_q1,p2010_q2,p2010_q3,p2010_q4"
3974205092,6017931,5515847,"p2009_q1,p2009_q2,p2009_q3,p2009_q4,p2010_q1,p2010_q2"
6309073476,8473858,7725571,"p2009_q1,p2009_q2,p2009_q3,p2009_q4,p2010_q1,p2010_q2,p2010_q3,p2010_q4"
7197600031,9841316,8961231,"p2008_q3,p2008_q4,p2009_q1,p2009_q2,p2009_q3,p2009_q4,p2010_q1,p2010_q2,p2010_q3,p2010_q4"
