duration_ns,first_row_ns,rows,explain_rows,partitions
4388600,4388600,1,1,
5557300,5557300,1,1,
5865500,5865500,4,1,
861000,861000,4,4,
35602400,15597500,500,1344,
384765200,384765200,1,1,
4027500,4027500,4,1,
18895237300,18895237300,91,13969926,
24354982700,24347667600,100,10379568,
40397832400,40397832400,100,10379568,
32777224700,32771460600,100,10379568,
50348348500,50348348500,100,10379568,
17558832200,17554330000,100,3666140,
18686070900,18686070900,100,3666140,
212398575400,212398575400,100,10379568,
11624100,11624100,8,8,
8453600,8453600,4,4,
7800400,7800400,8,8,
79932539400,77870055600,2113503,13969926,
135004827700,135004494500,100,13969926,
