duration_ns,first_row_ns,rows,explain_rows,partitions
3756200,3756200,1,1,p0
3327000,3327000,1,1,"p0,p1,p2,p3,p4,p5,p6,p7"
11102296900,11102296900,4,1,"before_2008_q3,p2008_q3,p2008_q4,p2009_q1,p2009_q2,p2009_q3,p2009_q4,p2010_q1,p2010_q2,p2010_q3,p2010_q4,p_future"
17140900,16660400,4,4,"p0,p1,p2,p3"
27027900,17388400,500,673,"p0,p1,p2,p3,p4,p5,p6,p7"
11475103300,11475103300,1,1,p1
11751726200,11751726200,4,1,"before_2008_q3,p2008_q3,p2008_q4,p2009_q1,p2009_q2,p2009_q3,p2009_q4,p2010_q1,p2010_q2,p2010_q3,p2010_q4,p_future"
13120993500,13120993500,91,12514270,"p0,p1,p2,p3,p4,p5,p6,p7"
39230112200,39229643800,100,12514270,"p0,p1,p2,p3,p4,p5,p6,p7"
47526285600,47521311800,100,12514270,"p0,p1,p2,p3,p4,p5,p6,p7"
42991843300,42991843300,100,12514270,"p0,p1,p2,p3,p4,p5,p6,p7"
106010196800,106010196800,100,12514270,"p0,p1,p2,p3,p4,p5,p6,p7"
37415838100,37415838100,100,1459830,
38345072500,38344659700,100,1459830,
48866878300,48864530700,100,841341,p2009_q2
5889500,505700,8,8,"p0,p1,p2,p3,p4,p5,p6,p7"
14248508600,14248508600,4,4,
15047701800,15047701800,8,8,
121003260700,119037452600,2113503,12514270,"p0,p1,p2,p3,p4,p5,p6,p7"
53869740800,53869430900,100,12514270,"p0,p1,p2,p3,p4,p5,p6,p7"
