duration_ns,first_row_ns,rows,explain_rows,partitions
3978583051,3978569754,1,1,p0
7959182225,7959178003,1,1,p0
4135282323,4135277282,1,1,p3
24009433184,24009425206,1,1,p3
6755197467,6755193224,1,1,p1
4702980558,4702974976,3,4,p1
4868395072,4868389486,2,4,"p0,p1,p2,p3"
9239795886,9239789853,6,8,p1
3561758299,3561751841,7,8,"p0,p1,p2,p3"
5770641274,5770581691,100,191290,"p0,p1,p2,p3"
76158182804,76158098532,100,11377436,"p0,p1,p2,p3"
36156011504,36155956167,100,11377436,"p0,p1,p2,p3"
1003822139,1003758685,100,999622,p2009_q2
1302908330,1302844779,100,999622,p2009_q2
19752928732,19752887882,100,10969947,"p0,p1,p2,p3"
28280027015,28279967248,100,1,p1
1624115057,1624045731,100,10256601,"before_2008_q3,p2008_q3,p2008_q4,p2009_q1,p2009_q2,p2009_q3,p2009_q4,p2010_q1,p2010_q2,p2010_q3,p2010_q4,p_future"
1941996902,1941990130,6,8,p1
7624599560,7624586531,7,8,"p0,p1,p2,p3"
98685153070,98685053401,100,38894050045493,
