duration_ns,first_row_ns,rows,explain_rows,partitions
187721,179231,1,1,
126737,0,0,0,
173545,171684,1,1,
131735,130334,1,1,
2702894626,2702890150,1,1,
294940,291700,2,4,
252850,250141,2,4,
5296364,5293419,4,8,
242650,238545,4,8,
573157323,573067825,100,199272,
58294329417,58294232869,100,6495740,
26754472602,26754256706,100,6495740,
4508082133,4507997284,100,10691341,
4767822354,4767757023,100,10691341,
3840061067,3840014781,100,10691341,
8588459889,8588383730,100,1,
395970,0,0,5,
473400,468898,4,8,
484009,479900,4,8,
91151289303,91151194411,100,17066111,
