duration_ns,first_row_ns,rows,explain_rows,partitions
529467657,529378625,100,999622,p2009_q2
509080270,509004597,100,999622,p2009_q2
512224780,512142104,100,999622,p2009_q2
469986343,469924303,100,999622,p2009_q2
466564871,466504038,100,999622,p2009_q2
917304656,917242030,100,999622,p2009_q2
3909096815,3909025303,100,3914438,"p2009_q1,p2009_q2,p2009_q3,p2009_q4"
712046604,711999220,91,999622,p2009_q2
629378767,629167419,100,999622,p2009_q2
4007823156,4007756101,100,999622,p2009_q2
1871538725,1831506125,930,99942,
2569858039,2569800319,100,99942,
30415778207,30404324614,500,3914438,"p2009_q1,p2009_q2,p2009_q3,p2009_q4"
936949666,936882559,100,999622,p2009_q2
1576363750,1576311374,100,999622,p2009_q2
321073,0,0,0,
13665684361,13665583520,100,1000,
34523696842,34523606459,100,1000,
6619812474,6619733682,100,6656035,
12124426578,12124370698,100,10256601,"before_2008_q3,p2008_q3,p2008_q4,p2009_q1,p2009_q2,p2009_q3,p2009_q4,p2010_q1,p2010_q2,p2010_q3,p2010_q4,p_future"
